"","orden","id","dominant_topic","topic_perc_contrib","keywords","text","topic","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","inst"
"27",27,26,1,0.464599996805191,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['plantar', 'mas', 'arboles_flor', 'cuidar', 'pasto']","Tópic_1","liceo agroindustrial",7,7108,2,32,"Liceos"
"28",28,27,1,0.228799998760223,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['mas', 'parque', 'jugar']","Tópic_1","programa chile crece contigo",5,5605,1,22,"Programas NNA"
"29",29,28,2,0.380400002002716,"sueldo, nino, calle, sename, justicia, privado, equidad, estudiar, diputado, botar_basura","['reduccion', 'sueldo', 'parlamentario']","Tópic_2","red de infancia y adolescencia",5,5101,3,7,"No detectado"
"30",30,29,7,0.233199998736382,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['generar', 'espacio', 'encontrar', 'persona', 'comunidad', 'definir', 'derecho', 'social', 'educacion', 'salud', 'transporte']","Tópic_7","oficina de protección de derechos de nna",5,5603,4,43,"OPD"
"31",31,30,5,0.497399985790253,"trabajo, ley, carabinero, vivir, tambien, ayudar, situacion, playa, salir, mejores_pensión","['ayudar', 'mas', 'necesitado', 'abuelo', 'recibir', 'pension', 'bajo']","Tópic_5","chile crece contigo",1,1403,2,15,"Programas NNA"
"32",32,31,8,0.444900006055832,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['creacion', 'espacio', 'parque', 'persona', 'animal', 'reunir', 'compartir']","Tópic_8","departamento de salud",4,4302,2,9,"No detectado"
"33",33,32,3,0.472699999809265,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['evitar', 'usar', 'cosa', 'contaminen', 'mantener', 'basura', 'lugar', 'corresponder']","Tópic_3","departamento de salud municipal",4,4302,2,19,"No detectado"
"34",34,33,3,0.362100005149841,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['aumentar', 'contratacion', 'profesional', 'area', 'salud']","Tópic_3","consejo consultivo",8,8109,5,100,"Consejo Consultivo de la Niñéz"
"35",35,34,0,0.307099997997284,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['realizar', 'actividad', 'mas', 'lugar', 'expresar', 'opinion']","Tópic_0","opd maule",7,7105,5,35,"OPD"
"36",36,35,8,0.254799991846085,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['ninos_nina', 'alimenten', 'sanamente']","Tópic_8","equipo comunal chile crece contigo",5,5107,2,9,"Programas NNA"
"37",37,36,8,0.421400010585785,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['todas_persona', 'plata', 'faltar']","Tópic_8","profesional seremi desarrollo social y familia",5,5105,3,8,"No detectado"
"38",38,37,3,0.28659999370575,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['evitar', 'violencia', 'destrozo']","Tópic_3","escuela aonikenk",11,11402,3,10,"Escuelas"
"39",39,38,1,0.174500003457069,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['popula']","Tópic_1","liceo roberto húmeres",5,5701,4,60,"Liceos"
"40",40,39,0,0.270700007677078,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['hacer', 'huerto', 'junto', 'padre']","Tópic_0","junta de vecino villa vista al mar",1,1107,1,15,"Juntas de Vecinos y Grupos de vecinos"
"41",41,40,1,0.279100000858307,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['pasar', 'mas', 'tiempo', 'padre', 'familia']","Tópic_1","jardin infantil ike ike",1,1101,1,8,"Jardines Infantiles"
"42",42,41,0,0.309899985790253,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['difusion', 'actividad', 'companero', 'participar', 'numero', 'acotado', 'participante']","Tópic_0","fortalecimiento municipal chile crece contigo",5,5803,2,9,"Programas NNA"
"43",43,42,4,0.385399997234344,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['aumentar', 'lugar', 'reciclaje', 'mejorar', 'calidad', 'ambiente']","Tópic_4","niños programa 4 a 7",5,5105,3,6,"Programas NNA"
"44",44,43,0,0.26350000500679,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['mayor', 'armonia', 'amor', 'persona']","Tópic_0","programa de 4 a 7",5,5107,2,9,"Programas NNA"
"45",45,44,7,0.304899990558624,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['creacion', 'nuevo', 'educacional']","Tópic_7","ilustre municipalidad de el quisco",5,5604,1,5,"Municipalidades"
"46",46,45,2,0.200399994850159,"sueldo, nino, calle, sename, justicia, privado, equidad, estudiar, diputado, botar_basura","['tomadas', 'cuenta']","Tópic_2","municipalidad de primavera",12,12302,3,13,"Municipalidades"
"47",47,46,3,0.194900006055832,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['aumentar', 'areas_verd']","Tópic_3","oficina local de la niñez",13,13101,1,8,"Oficina Local de la Niñez"
"48",48,47,1,0.278899997472763,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['importante', 'resultar', 'familia', 'mas', 'parte', 'dia']","Tópic_1","jardin chasquita",4,4303,1,11,"Jardines Infantiles"
"49",49,48,1,0.578599989414215,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['politico', 'ir', 'mas', 'seguido', 'barrio', 'sentir', 'ver', 'falta']","Tópic_1","oficina local de la niñez municipalidad de santiago",13,13101,2,14,"Oficina Local de la Niñez"
"50",50,49,8,0.307399988174438,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mayor', 'areas_verd', 'compartir']","Tópic_8","chile crece contigo",12,12402,1,2,"Programas NNA"
"51",51,50,8,0.219600006937981,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['hacer', 'sckate', 'comuna']","Tópic_8","escuela santa rita",7,7106,2,19,"Escuelas"
"52",52,51,1,0.22859999537468,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['crear', 'mas', 'parque', 'entretención']","Tópic_1","escuela rocío",4,4302,1,30,"Escuelas"
"53",53,52,1,0.569199979305267,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['solucion', 'problema', 'pasar', 'acción', 'presidente', 'tomar', 'caso', 'tomar', 'accion', 'renuncia']","Tópic_1","opd osorno",10,10301,3,28,"OPD"
"54",54,53,4,0.292899996042252,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['mas_areas_verd', 'espacio', 'jugar']","Tópic_4","coordinacion chcc dideco ilustre municipalidad de pozo almonte",1,1401,1,30,"Municipalidades"
"55",55,54,0,0.41389998793602,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['creacion_parque', 'acuatico', 'aproveche', 'cualidad', 'territorio', 'permitir', 'ninos_nina', 'utilizar', 'sanamente', 'tiempo', 'libre']","Tópic_0","ilustre municipalidad de huara",1,1404,2,16,"Municipalidades"
"56",56,55,3,0.227300003170967,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['cuidar', 'plantita', 'jardi']","Tópic_3","jardin infantil ike ike",1,1101,1,10,"Jardines Infantiles"
"57",57,56,3,0.286500006914139,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['ensuciar', 'espacio', 'basura']","Tópic_3","programa fortalecimiento municipal chile crece contigo",1,1402,2,15,"Programas NNA"
"58",58,57,8,0.218400001525879,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['crear', 'parque']","Tópic_8","fundacion de las familia",3,3101,3,10,"Fundaciones"
"59",59,58,5,0.450500011444092,"trabajo, ley, carabinero, vivir, tambien, ayudar, situacion, playa, salir, mejores_pensión","['enerar', 'espacio', 'conversacion', 'permitir', 'ninos_nina', 'expresar', 'sentimiento', 'emoción', 'contingencia', 'nacional', 'caso', 'percibio', 'temor', 'situacion', 'pai']","Tópic_5","jardín infantil valle del sol",5,5801,1,14,"Jardines Infantiles"
"60",60,59,8,0.632099986076355,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['existir', 'plaza', 'cerca', 'domicilio', 'hallar', 'juego', 'techo', 'invierno', 'mojar']","Tópic_8","programa 4a7 rabuco",5,5503,3,8,"Programas NNA"
"61",61,60,1,0.228900000452995,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['aumento', 'disponible', 'comun']","Tópic_1","municipalidad de pica",1,1405,2,13,"Municipalidades"
"62",62,61,1,0.386700004339218,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['cambio', 'gobierno']","Tópic_1","oficina proteccion de derechos romeral",7,7306,5,20,"OPD"
"63",63,62,1,0.228799998760223,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['mas', 'parque', 'jugar']","Tópic_1","opd",5,5605,1,22,"OPD"
"64",64,63,9,0.247899994254112,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['volver', 'paz', 'jugar', 'tranquilo']","Tópic_9","fundacion de la familias",3,3101,2,8,"Fundaciones"
"65",65,64,1,0.510599970817566,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['cambio', 'gobierno', 'confiar', 'mas', 'politico', 'gobierne', 'mayor', 'transparencia']","Tópic_1","opd tierna infancia",6,6306,3,15,"OPD"
"66",66,65,8,0.529399991035461,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['desigualdad', 'toma_decisiones', 'directivo', 'alumno', 'escolar', 'proponer', 'joven', 'tomar', 'problematica', 'involucrar', 'participar', 'espacio', 'dialogo', 'periodico', 'protegido', 'gobierno', 'democratizar', 'toma_decisiones', 'traves', 'asamblea', 'cargo', 'organo', 'independiente', 'fiscalizar', 'generar', 'igualdad', 'existir', 'observador', 'joven']","Tópic_8","opd viña del mar",5,5109,4,5,"OPD"
"67",67,66,6,0.289099991321564,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['pais', 'mas', 'justo']","Tópic_6","liceo república de brasil",14,14103,2,45,"Liceos"
"68",68,67,7,0.343800008296967,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['perro', 'vago']","Tópic_7","municipalidad de talcahuano",8,8110,3,52,"Municipalidades"
"69",69,68,9,0.205599993467331,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['generar', 'mas', 'dialogo', 'escuchar', 'solicitud', 'pedir']","Tópic_9","opd cauquenes",7,7201,5,24,"OPD"
"70",70,69,1,0.279000014066696,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['tener', 'acceso', 'plaza', 'espacio', 'juegos_infantil']","Tópic_1","fortalecimiento municipal chile crece contigo opd",1,1107,1,20,"OPD"
"71",71,70,4,0.263099998235703,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['seguir', 'realizar', 'instancia', 'conversacion']","Tópic_4","orquesta infanto juvenil de barrio norte opd concepcion",8,8101,5,30,"OPD"
"72",72,71,1,0.258199989795685,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['mas', 'respetuoso']","Tópic_1","chile crece contigo la ligua",5,5401,3,1,"Programas NNA"
"73",73,72,4,0.406300008296967,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['construyan', 'segundo', 'piso', 'casa', 'escalera']","Tópic_4","coord niñez octava y chcc comunal",8,8204,1,8,"No detectado"
"74",74,73,1,0.228799998760223,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['mas', 'tiempo', 'padre']","Tópic_1","chcc coronel",8,8102,5,20,"No detectado"
"75",75,74,2,0.159500002861023,"sueldo, nino, calle, sename, justicia, privado, equidad, estudiar, diputado, botar_basura","['convocar', 'nuevo', 'participante', 'opd', 'petorca', 'forma', 'realizar', 'dialogo', 'social', 'masivo', 'comunidad']","Tópic_2","opd petorca",5,5404,5,7,"OPD"
"76",76,75,0,0.2432000041008,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['piscina']","Tópic_0","jardín infantíl  tía virginia",5,5109,1,19,"Jardines Infantiles"
"77",77,76,0,0.211899995803833,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['mejorar', 'sueldo_minimo']","Tópic_0","coord niñez octava y chcc comunal",8,8206,3,6,"No detectado"
"78",78,77,7,0.484600007534027,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['educacion', 'proponer', 'invertir', 'mas', 'educacion', 'garantizar', 'gratuito', 'calidad']","Tópic_7","ppf araucaria",8,8105,4,5,"Programas NNA"
"79",79,78,8,0.250699996948242,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['participacion']","Tópic_8","oficina de protección de derechos de la niñez y la adolescencia de santiago",13,13101,5,18,"OPD"
"80",80,79,8,0.218400001525879,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['espacio', 'recreacion']","Tópic_8","opd curicó",7,7301,4,8,"OPD"
"81",81,80,4,0.405200004577637,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['mejorar', 'escuela', 'entorn']","Tópic_4","escuela fernando santivan",14,14101,1,9,"Escuelas"
"82",82,81,1,0.205400004982948,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['pasar', 'mayor', 'tiempo', 'famili']","Tópic_1","escuela fernando santivan",14,14101,2,10,"Escuelas"
"83",84,82,8,0.250699996948242,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['existir']","Tópic_8","opd san rafael pelarco",7,7110,3,16,"OPD"
"84",85,83,0,0.312000006437302,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['elaborado', 'ninos_nina', 'buscar', 'solución', 'escuchar', 'necesidad', 'habitant', 'pais']","Tópic_0","escuela san josé",5,5702,3,10,"Escuelas"
"85",86,84,7,0.466199994087219,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['elaborado', 'ninos_nina', 'pueblo', 'escuchado', 'presidente', 'colocar', 'persona', 'escaso', 'recurso', 'puesto', 'gobierno', 'entender', 'necesidad', 'gente', 'mas', 'pobre']","Tópic_7","escuela maría teresa del canto",5,5702,3,27,"Escuelas"
"86",87,85,1,0.186299994587898,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['construir', 'mas', 'escuela', 'casa', 'parque']","Tópic_1","escuela fernando santivan",14,14101,1,8,"Escuelas"
"87",88,86,1,0.307599991559982,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['pasar', 'mas', 'tiempo', 'famili']","Tópic_1","escuela fernando santivan",14,14101,2,26,"Escuelas"
"88",89,87,4,0.406800001859665,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['mejora', 'escuela', 'vivienda']","Tópic_4","escuela fernando santivan",14,14101,1,10,"Escuelas"
"89",90,88,8,0.656300008296967,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['existir', 'mayor', 'espacio', 'ninos_nina', 'adolescente', 'comuna', 'recrear', 'compartir', 'adema']","Tópic_8","oficina de proteccion de derechos de infancia y adolescencia cabildo",5,5402,3,6,"OPD"
"90",91,89,6,0.411799997091293,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['siempre', 'ser', 'querido', 'sentir', 'protegido']","Tópic_6","oficina comunal chile crece contigo",5,5501,1,10,"Programas NNA"
"91",92,90,6,0.511399984359741,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['planteado', 'ninos_nina', 'relacionar', 'importancia', 'considerar', 'necesario', 'difundo', 'informacion', 'eduque', 'comunidad', 'torno']","Tópic_6","escuela los cerrillos",5,5702,3,12,"Escuelas"
"92",93,91,8,0.218400001525879,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['parque', 'arbol']","Tópic_8","escuela fernando santivan",14,14101,1,9,"Escuelas"
"93",94,92,8,0.275999993085861,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['espacio', 'esparcimiento', 'cercano', 'domicilio']","Tópic_8","oficina de proteccion de derechos de infancia y adolescencia cabildo",5,5402,2,5,"OPD"
"94",96,93,6,0.289099991321564,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['mas', 'tiempo', 'familia']","Tópic_6","jardín infantil y sala cuna los paltitos",5,5109,1,21,"Jardines Infantiles"
"95",97,94,7,0.331499993801117,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['realizar', 'mas', 'actividad', 'ludica', 'dentro', 'colegio', 'comunidad', 'ninos_a', 'expresar', 'sentimiento', 'manera', 'activo', 'opinión']","Tópic_7","programa chile crece contigo ilustre municipalidad de santo domingo",5,5606,2,19,"Programas NNA"
"96",98,95,8,0.307500004768372,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mayor', 'justicia', 'social']","Tópic_8","escuela blas cuevas escuela república del salvador  taller de acción comunitaria",5,5101,5,120,"Escuelas"
"97",99,96,0,0.486299991607666,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['mayor', 'compromiso', 'persona', 'animal', 'medio_ambiente', 'ninos_nina', 'identificar', 'animal', 'ser', 'inherente', 'derecho']","Tópic_0","jardín infantil leliantu",8,8305,1,11,"Jardines Infantiles"
"98",100,97,8,0.435600012540817,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['promover', 'espacio', 'orientacion', 'ver', 'positivo']","Tópic_8","consejo consultivo nna",13,13113,5,11,"Consejo Consultivo de la Niñéz"
"99",101,98,6,0.361799985170364,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['tener', 'mas', 'tiempo', 'familia']","Tópic_6","escuela fernando santivan",14,14202,2,10,"Escuelas"
"100",102,99,7,0.248199999332428,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['conversar', 'comunicar', 'mas', 'pares', 'familia']","Tópic_7","escuela fernando santivan",14,14202,3,9,"Escuelas"
"101",103,100,3,0.400499999523163,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['charla', 'bullying', 'buen_trato']","Tópic_3","consejo consultivo nna",13,13113,5,28,"Consejo Consultivo de la Niñéz"
"102",104,101,7,0.190999999642372,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['conversar', 'tema', 'familia']","Tópic_7","escuela fernando santivan",14,14101,3,8,"Escuelas"
"103",105,102,8,0.229699999094009,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['colegio', 'entregar', 'mayor', 'informacion', 'tema', 'social', 'intere']","Tópic_8","escuela fernando santivan",14,14202,3,8,"Escuelas"
"104",106,103,4,0.333799988031387,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['impulsar', 'organizacion', 'estudianti']","Tópic_4","escuela fernando santivan",14,14101,3,8,"Escuelas"
"105",107,104,1,0.174500003457069,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","[]","Tópic_1","consejo consultivo magallanes",12,12101,5,16,"Consejo Consultivo de la Niñéz"
"106",108,105,1,0.464599996805191,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['salud', 'entregar', 'mas', 'recurso', 'salud']","Tópic_1","oficina local de la niñez municipalidad de requínoa",6,6116,4,10,"Oficina Local de la Niñez"
"107",109,106,7,0.304300010204315,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['fiscalice', 'mas', 'colegio']","Tópic_7","oficina local de la niñez municipalidad de requínoa",6,6116,3,6,"Oficina Local de la Niñez"
"108",110,107,8,0.307399988174438,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['poner', 'mas', 'basurero']","Tópic_8","taller pladeco",13,13113,2,28,"No detectado"
